Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary
Senior CEMA Software Engineer,Leidos,"Lawton, OK","CI/CD, DevOps, Git, C++, Ubuntu","degree, education, master, bachelor","8+ years, 2 years, 6+ years",N/A,$105K - $189K (Employer est.)
"Sr. Software Engineer, Front-End",Disney Entertainment & ESPN Technology,"New York, NY","Node.js, CSS, React, Web development, AWS","degree, education, master, bachelor","8+ years, 2 years, 6+ years",N/A,$143K - $191K (Employer est.)
Software Development Team Lead - Web,Uline,"Pleasant Prairie, WI","CI/CD, ASP.NET, MVC, C#, OOP","degree, education, bachelor",8+ years,N/A,$121K - $160K (Employer est.)
Senior Software Engineer (Python),BELVA,Remote,"Cassandra, Kubernetes, Software deployment, NoSQL, MongoDB",N/A,"5+ years, 3 years",N/A,N/A
Software Engineer,QUANTUM DESIGN INC,"San Diego, CA","Computer science, Data analysis skills, Git, Windows, Spectroscopy",N/A,"5+ years, 3 years",N/A,$140K - $160K (Employer est.)
Embedded Controls Software Engineer - Automotive,Bill Austin and Associates,"Columbus, IN","Statistics, MATLAB, Microsoft Excel, Data analysis skills, Microsoft Office",education,3-5 years,N/A,$54K - $78K (Glassdoor est.)
Senior Backend Software Engineer,Virta Health,Remote,"Azure, Go, CSS, React, NoSQL",N/A,5+ years,N/A,$167K - $216K (Employer est.)
Sr. Software Engineer - Computational Social Science,University of Miami,"Miami, FL","Data mining, R, Research, Machine learning, Natural language processing","graduate, education, phd, doctor",two years,N/A,$100K - $130K (Employer est.)
Software Development Engineer - Front-end,Adobe,"Lehi, UT","Computer science, React, JavaScript, TypeScript, Communication skills","degree, bachelor",1-3 years,N/A,$93K - $171K (Employer est.)
Software Development Engineer,Adobe,"Lehi, UT","Web accessibility, Computer science, Elasticsearch, Management, Node.js","degree, education, master, bachelor",5+ years,mid-level,$134K - $242K (Employer est.)
"Senior Software Engineer, AWS",Autodesk,"San Francisco, CA","CI/CD, Node.js, Software deployment, Git, Java","degree, bachelor",5+ years,N/A,$110K - $190K (Employer est.)
Jr.Software Engineer,ASCENDING,"Fairfax, VA","Computer science, Node.js, DevOps, Data structures, AWS","degree, bachelor",2 years,entry level,$88K - $131K (Glassdoor est.)
Army Software Electrical Engineer,Capstone Research Corporation,"Aberdeen, MD","Writing skills, Budgeting",N/A,"plus years, fewer years",N/A,$120K - $190K (Employer est.)
Radar / Electronic Warfare Software Section Team Lead,Leidos,"Huntsville, AL","MATLAB, Signal processing, Electronic warfare, Configuration management, OOP","degree, education, master, bachelor","2-6 years, 4-8 years",N/A,$85K - $154K (Employer est.)
"Software Engineering Senior Manager - Legal, Compliance, & Audit Technology",T. Rowe Price,"Owings Mills, MD","CI/CD, Computer science, Management, Node.js, Microsoft SQL Server",associate,"10+ years, 5+ years",N/A,$151K - $323K (Employer est.)
Fullstack Software Engineer,PermitFlow,"New York, NY","Bluebeam, Node.js, React, PostgreSQL, TypeScript",associate,"10+ years, 5+ years",N/A,$110K - $240K (Employer est.)
Software Engineer (Remote),Frontdoor,United States,"CI/CD, Computer science, Go, Data structures, NoSQL","education, degree, certification, bachelor, diploma",50 years,N/A,$80K - $100K (Employer est.)
Backend Software Engineer - AI Trainer,DataAnnotation,"Rochester, NY","Writing skills, C#, English, SQL, C++","degree, bachelor",N/A,N/A,$40.00 Per Hour (Employer est.)
Jr. Software Developer,WinShape Foundation,"Rome, GA","Azure, CSS, React, C#, Git","degree, bachelor",N/A,N/A,$66K - $104K (Glassdoor est.)
Software Engineer Co-Op,CALERO,"Rochester, NY","ASP.NET, CSS, React, Relational databases, C#","degree, b.s.",N/A,N/A,$26.00 - $30.00 Per Hour (Employer est.)
"Software Engineer (L5), Ads Measurement",Netflix,"New York, NY","Host/hostess experience, A/B testing, Martech, Leadership, Negotiation",N/A,N/A,N/A,$100K - $720K (Employer est.)
Embedded Software Engineer (all genders),Beyond Gravity,"Lisbon, ME","Management, FPGA, System design, English, Software development",N/A,N/A,N/A,$76K - $133K (Glassdoor est.)
Jr. Software Engineer,Spontigo,"Vineyard, UT",N/A,N/A,N/A,N/A,$15.00 - $25.00 Per Hour (Employer est.)
Senior Firmware Engineer,True Manufacturing,"O Fallon, MO","LabView, Schematics, Internet of things, Firmware, PCB","degree, bachelor",more years,N/A,$125K - $140K (Employer est.)
"AI/ML Software Developer Intermediate (Software Engineering, Senior Analyst)",The MIL Corporation,"Lexington Park, MD","Windows, DoD experience, OS Kernels, C++, C","degree, bachelor",more years,N/A,$90K - $140K (Employer est.)
Senior Software Engineer - Container,Uline,"Pleasant Prairie, WI","CI/CD, Computer science, Kubernetes, Java, Microservices","degree, education, bachelor","10+ years, 5+ years, 2+ years",N/A,$111K - $145K (Glassdoor est.)
Software Engineer,Internet Archive,United States,"Git, PHP, PostgreSQL, Redis, Ubuntu",degree,"25+ years, 5+ years",N/A,$80K - $135K (Employer est.)
SOFTWARE ENGINEERS,Stacklogy,"Temple, TX","CI/CD, Cloud infrastructure, Cloud architecture","degree, master",N/A,N/A,$84K - $124K (Glassdoor est.)
Control System Programmer (Audio-Visual Systems) Philadelphia/Southern NJ/Wilmington Delaware,Cenero LLC,"Malvern, PA","TCP, Project planning, System design, Microsoft Office, Computer networking","degree, certification, education, bachelor",three years,N/A,N/A
Software Engineer,Vision Technology Inc,"Montgomery, AL","Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Access, Oracle","certification, education, certificate",5 years,N/A,$60K (Employer est.)
Frontend Software Engineer - AI Trainer,DataAnnotation,"Arvada, CO","Writing skills, C#, English, SQL, C++","degree, bachelor",N/A,N/A,$40.00 Per Hour (Employer est.)
Co-Op Software -Summer/Fall 2025,The Raymond Corporation,"Greene, NY","C, SDLC","associate, degree, graduate, bachelor",100 years,N/A,$19.50 - $28.00 Per Hour (Employer est.)
React Engineer,Air Apps,"San Francisco, CA","Web accessibility, CI/CD, Computer science, CSS, React","associate, degree, graduate, bachelor",100 years,N/A,$75K - $99K (Employer est.)
Software Engineer 1,Onto Innovation,"Milpitas, CA","Software troubleshooting, Java, C++, JavaScript, Scrum","degree, master, bachelor",N/A,N/A,$113K - $154K (Glassdoor est.)
"Engineer, Simulator Software",Constellation Energy,"Middletown, PA","Data structures, Configuration management, Git, Windows, Fortran","degree, master, bachelor",N/A,N/A,$121K - $134K (Employer est.)
Software Engineer,CLEAR - Corporate,"Austin, TX","Data modeling, Node.js, React, Kubernetes, AWS","graduate, degree, education",N/A,N/A,N/A
Sr. Software Quality Engineer w active TS/SCI Poly,Leidos,"Annapolis Junction, MD","Microsoft Powerpoint, Microsoft Word, Microsoft Excel, IT service management, Visio","degree, education, bachelor",12 years,N/A,$112K - $203K (Employer est.)
"Software Engineer, Digital Experience",Tesla,"Fremont, CA","Computer science, Data modeling, Go, Machine learning, Natural language processing",degree,N/A,N/A,$133K - $200K (Employer est.)
C# .NET Developer (No Sponsorship/ No Remote),Town Fair Tire,"East Haven, CT","Jira, AJAX, ASP.NET, Computer science, CSS","degree, bachelor",2-4 years,N/A,$47K - $80K (Glassdoor est.)
Software Engineer II,Sallie Mae,"Indianapolis, IN","Computer science, C#, Technical support, OOP, AWS","associate, degree, education, bachelor",3 years,N/A,$87K - $106K (Glassdoor est.)
Associate Cloud Software Engineer,Lenovo,"Morrisville, NC","Azure, React, DevOps, Data structures, Git","associate, degree, master, bachelor, graduate",N/A,N/A,N/A
Junior Automation Engineer (Entry-Level),Corvid Technologies LLC,"Mooresville, NC","Computer science, Management, Software troubleshooting, Software deployment, OOP","education, phd, degree, master, bachelor",N/A,N/A,$81K - $104K (Glassdoor est.)
Software Engineer - AI Trainer,DataAnnotation,"Tallahassee, FL","Writing skills, C#, English, SQL, C++","degree, bachelor",N/A,N/A,$40.00 Per Hour (Employer est.)
Software Engineer,SLPT Global Pump Group,"Warren, MI","Jira, Data structures, Git, English, C++","degree, master, bachelor","2+ years, 3 years",N/A,$80K - $110K (Employer est.)
SOFTWARE DEVELOPERS,Stacklogy,"Temple, TX","CI/CD, Cloud infrastructure","degree, master",N/A,N/A,$87K - $114K (Glassdoor est.)
Backend Software Engineer - AI Trainer,DataAnnotation,"Aurora, CO","Writing skills, C#, English, SQL, C++","degree, bachelor",N/A,N/A,$40.00 Per Hour (Employer est.)
Senior Firmware Engineer I,Neptune Technology Group Inc.,"Duluth, GA","Jira, FTP, TCP, Schematics, R","education, associate, degree, certification, master, bachelor","9 years, 5 years, (7 years",N/A,$100K - $131K (Glassdoor est.)
Computing & Software Systems Engineer (TDD ArchSS),CRL Technologies,"Lexington Park, MD","Test-driven development, Math, Systems engineering","associate, degree, education, bachelor","(6) years, (4) years",N/A,N/A
Embedded Linux Software Engineer,Futurex,"Bulverde, TX","Software troubleshooting, Encryption, Git, OS Kernels, C","degree, bachelor",N/A,N/A,$93K - $150K (Glassdoor est.)
Associate Software Engineer (PT),risk3sixty,"Atlanta, GA","Jira, CI/CD, Computer science, Node.js, Git",associate,N/A,N/A,$90K - $125K (Glassdoor est.)
Software Engineer/ Admin,"Federal Foam Technologies, Inc.","New Richmond, WI","Azure, EDI, Software troubleshooting, DevOps, C#","degree, education, bachelor",three years,N/A,$94K - $103K (Employer est.)
Software Developer,Ascend Federal Credit Union,"Murfreesboro, TN","Computer science, Azure, CSS, JUnit, XML","degree, education, master, bachelor","5-8 years, 8-10 years, 3-5 years",N/A,$60K - $87K (Glassdoor est.)
Software Engineer (Remote Option Available),Partners Health Management,"Albemarle, NC","AJAX, ASP.NET, Computer science, MVC, CSS","degree, certification, education, bachelor","5+ years, 2+ years, 3+ years",N/A,$38K - $60K (Glassdoor est.)
Software Engineer & Testers,L&T Technology Services,"Edison, NJ","Jira, Git, C++, IT","degree, education, bachelor",N/A,N/A,$79K - $114K (Glassdoor est.)
Software Engineer,BoltWise,"Denver, CO","Computer science, Azure, Node.js, Google Cloud Platform, Application development","degree, education, master, bachelor",4+ years,N/A,$100K - $175K (Employer est.)
Server Engineer,MidwayUSA,"Columbia, MO","Microsoft Windows Server, System administration, NFS, Ansible, Disaster recovery","degree, education, master, bachelor",4+ years,N/A,$80K - $115K (Employer est.)
Software Engineer - Optum Serve - Remote,Optum,"Eden Prairie, MN","CI/CD, Elasticsearch, Cloud infrastructure, Azure, EDI","degree, certification, education, bachelor",2+ years,N/A,$72K - $141K (Employer est.)
Software Engineer,Microsoft,"Mountain View, CA","Computer science, C#, Java, C++, C","degree, bachelor",N/A,N/A,$82K - $175K (Employer est.)
Software Engineer (Hybrid),Homebase,"Denver, CO","Analysis skills, Ruby, AI, Communication skills",N/A,N/A,N/A,$100K - $110K (Employer est.)
Lead Software Engineer – Advice & Planning Platform (Portfolio Construction) - Full-Time Remote Opportunity,T. Rowe Price,"Owings Mills, MD","Wealth management, Cash flow analysis, Test automation, Java, REST","education, associate, degree, master, bachelor",8+ years,N/A,$142K - $303K (Employer est.)
Software Engineer,Ford Motor Company,"Dearborn, MI","CI/CD, React, Kubernetes, Google Cloud Platform, Analysis skills","degree, bachelor","4+ years, 3+ years, 2+ years",N/A,$86K - $113K (Glassdoor est.)
Software Development Engineer (SDE),The Seattle Mariners Baseball Club,"Seattle, WA","Computer science, Azure, Management, CSS, Enterprise software","degree, certification, education, bachelor",(3) years,N/A,$125K - $140K (Employer est.)
Software Engineer IV- Oracle HCM Developer,SPECTRUM,"Saint Louis, MO","Computer science, Oracle, English, Application development, SQL",N/A,N/A,N/A,$95K - $124K (Glassdoor est.)
Software Engineer,Expleo,"Rochester, MN","CI/CD, Cloud infrastructure, Azure, Go, Kubernetes","degree, certification, education, bachelor","2+ years, 1+ years",N/A,$111K - $121K (Employer est.)
Software Engineer,Bectran Inc,"Schaumburg, IL","Computer science, MVC, JUnit, XML, J2EE","degree, certification, education, bachelor","2+ years, 1+ years",N/A,$75K - $80K (Employer est.)
Software Engineer II,Uber,"San Francisco, CA","Go, Big data, Research, Java, AWS","degree, education, bachelor","the years, over years",N/A,$167K - $186K (Employer est.)
Software Manager (2020 Insight - Manufacturing),"Wisenbaker Builder Services, Inc.","Houston, TX","Management, ERP systems, Java, C++, Scrum","degree, education, bachelor","the years, over years",N/A,$112K - $169K (Glassdoor est.)
Software Engineer,GE HEALTHCARE,"Waukesha, WI","CI/CD, Computer science, Internet of things, Kubernetes, Software deployment","education, phd, degree, master, bachelor","2+ years, 3+ years",N/A,$78K - $103K (Glassdoor est.)
"Senior Software Engineer, Backend",Capital One,"Richmond, VA","Azure, Go, Node.js, Kubernetes, NoSQL","associate, degree, education, bachelor","3+ years, 5+ years, 2+ years, 3 years, 1+ years",N/A,N/A
Software Engineer,JPMorganChase,"Plano, TX","Jira, Computer science, Elasticsearch, Oracle, Cloud architecture","degree, education, master","200 years, 5 years",N/A,$94K - $136K (Glassdoor est.)
Software Engineer- II,"VIZIO, Inc.","Dallas, TX","XML, Java, C++, JavaScript, Product management",N/A,N/A,N/A,$72K - $108K (Glassdoor est.)
C# .NET Developer (No Sponsorship/ No Remote),Town Fair Tire,"East Haven, CT","Jira, AJAX, ASP.NET, Computer science, CSS","degree, bachelor",2-4 years,N/A,$47K - $80K (Glassdoor est.)
Staff Embedded Software Eng. / Sys Modeling Sim. (AHT),Northrop Grumman,"Northridge, CA","Statistics, MATLAB, Git, DoD experience, OOP","degree, bachelor",2-4 years,N/A,$171K - $256K (Employer est.)
Principal Engineer Software,Northrop Grumman,"San Diego, CA","Microsoft Windows Server, Ansible, Windows, Nessus, Continuous integration","education, degree, certification, master, bachelor","2 years, 4 years, (9 years, 5 years",N/A,$107K - $161K (Employer est.)
Building Automation Engineer,Novo Nordisk,"West Lebanon, NH","Microsoft Powerpoint, Microsoft Word, AutoCAD, Biotechnology, System administration","education, associate, degree, certification, bachelor","(7) years, plus years, (3) years, (5) years",N/A,$81K - $121K (Glassdoor est.)
Principal Engineer Software Quality,Northrop Grumman,"Woodland Hills, CA","Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Waterfall, Git","degree, education, master, bachelor","2 years, 5 years",N/A,$100K - $151K (Employer est.)
Sr. Azure Middleware Developer - Software Engineer,Subaru of America,"Camden, NJ","CI/CD, Azure, Software troubleshooting, DevOps, C#","degree, education","4 years, 6 years",N/A,$83K - $130K (Employer est.)
"CNC Lathe Programmer, Set-up and Operation",Turbo Machined Products,"Frankfort, NY","Mazatrol, CNC lathe, Calipers, Micrometer, Manufacturing","education, master",5 years,N/A,$18.00 - $22.00 Per Hour (Employer est.)
Software Developer,Oracle,United States,"Computer science, Cloud infrastructure, Oracle, Data structures, Java",associate,1-2+ years,N/A,N/A
Sr Software Engineer (Salesforce),"The Travelers Companies, Inc.","Atlanta, GA","APIs, Leadership, Communication skills","degree, education, bachelor","three years, 160 years, five years",N/A,$136K - $224K (Employer est.)
Senior Cloud Software Engineer,Fermat Software,"Annapolis, MD","CI/CD, Elasticsearch, React, Kubernetes, Angular",N/A,N/A,N/A,$75.00 Per Hour (Employer est.)
Mid Level JAVA Software Engineer with DevOps Experience,pureIntegration,"Reston, VA","CI/CD, Data modeling, Oracle, MVC, Cassandra","degree, bachelor","4+ years, 20+ years",mid-level,$80K - $110K (Employer est.)
"Software Engineer, Borrower Acquisition",January,"New York, NY","System architecture, AWS, Analysis skills, Machine learning, Terraform",N/A,2+ years,N/A,$160K - $190K (Employer est.)
Software Engineer,Next code placement,"California City, CA","Node.js, CSS, Software troubleshooting, React, Mobile applications","degree, education, master, bachelor",2+ years,N/A,$84K - $101K (Employer est.)
Software Engineer,"eMeasurematics, Inc.","Chicago, IL","Authentication, Computer science, TCP, TestNG, Azure",N/A,6+ years,N/A,$120K - $150K (Employer est.)
Principal Software Engineer,Liberty Mutual,"Columbus, OH","Product management, Agile","degree, certification, education, bachelor",(8) years,N/A,$132K - $202K (Employer est.)
Software Engineer,Advanced Technology and Research Corporation,"Bethesda, MD","Computer science, Writing skills, Windows, Fortran, Java","degree, education, bachelor",5 years,mid-level,$100K - $120K (Employer est.)
Senior Software Engineer - Bare metal/RTOS,SeeScan Inc.,"San Diego, CA","Signal processing, Software troubleshooting, C++, C, Communication skills","degree, education, bachelor",5 years,mid-level,$120K - $200K (Employer est.)
Software Reliability Engineer,Lightspeed Voice,Remote,"CI/CD, Node.js, Git, Application development, PHP","education, bachelor","4+ years, 2 years",N/A,$85K (Employer est.)
Software Engineer (Frontend) - Early in Career,Splunk,Colorado,"CI/CD, Backbone.js, CSS, React, Big data","master, bachelor",N/A,N/A,$119K - $164K (Employer est.)
C# SQL ETL Software Engineer II,RELX,Georgia,"Jira, C#, R, SQL, GitHub",N/A,N/A,N/A,N/A
Software Engineer/Principal Software Engineer - MASC-F,Northrop Grumman,"Huntsville, AL","Jira, CI/CD, SAFe, TCP, Configuration management","education, phd, degree, master, bachelor","2 years, 5 years, 0 years",N/A,$105K - $128K (Employer est.)
Software Engineer II (Databases),Disney Entertainment & ESPN Technology,"Bristol, CT","CI/CD, Performance tuning, Cloud infrastructure, Azure, Go","degree, education, bachelor","for years, 3+ years",N/A,$120K - $161K (Employer est.)
Software Engineer II,PlayStation Global,"San Francisco, CA","CI/CD, Computer science, Elasticsearch, Microsoft Excel, Cassandra","degree, bachelor",3 years,N/A,$159K - $238K (Employer est.)
Software Development Engineer,Nexio,"Orem, UT","Jira, Node.js, Data structures, NoSQL, Git","degree, bachelor",3 years,N/A,$90K - $120K (Employer est.)
Software Engineer II - Java,H-E-B,"San Antonio, TX","Jira, CI/CD, Computer science, Kubernetes, Data structures","degree, certification",2+ years,N/A,$78K - $132K (Glassdoor est.)
Software Engineer,Santa Barbara Infrared,"Santa Barbara, CA","Computer science, Software troubleshooting, Relational databases, C#, Microsoft SQL Server","degree, certification",2+ years,N/A,$130K - $160K (Employer est.)
Software Engineer- Java/ Microservices,Lowe's,"Charlotte, NC","Computer science, Elasticsearch, Sales, MongoDB, Java","associate, degree, education, bachelor","100 years, 2 years",N/A,$75K - $143K (Employer est.)
Software Developer,Leidos,"Chantilly, VA","Jira, Gradle, Node.js, React, Relational databases","degree, education, master, bachelor","6 years, 4+ years, 2+ years",N/A,$85K - $154K (Employer est.)
Development Automation and Robotics Engineer III,Intricon,"Vadnais Heights, Ramsey, MN","CAD, Programmable logic controllers, Project management, Quality assurance, SolidWorks","degree, education, bachelor","4 years, (4) years",N/A,$95K - $120K (Employer est.)
Software Development Engineer,Adobe,"Austin, TX","Computer science, Azure, Node.js, Java, Databases","degree, education, bachelor","4 years, (4) years",N/A,$93K - $171K (Employer est.)
Software Quality Assurance Engineer,Whisker,"Auburn Hills, MI","Computer science, Internet of things, Mobile applications, iOS, LoadRunner","degree, education","equivalent years, 4+ years",N/A,$77K - $112K (Glassdoor est.)
Software Engineer – ServiceNow,Ensono,Remote,"Jira, Node.js, Remedy, IT service management, AWS","degree, education","equivalent years, 4+ years",N/A,$75K - $123K (Employer est.)
Assistant Software Engineer/Software Engineer/Software Engineer II,AIPSO,"Johnston, RI","Microsoft Excel, Software troubleshooting, Relational databases, Microsoft SQL Server, Microsoft Office","degree, education, bachelor",more years,N/A,$73K - $117K (Employer est.)
Senior Command & Control Software Engineer,Raytheon,"Aurora, CO","Jira, CI/CD, JUnit, Kubernetes, Test automation","associate, degree, education, bachelor","100 years, 5 years",N/A,$82K - $164K (Employer est.)
Senior C++ Software Engineer (On-Site),Raytheon,"Aurora, CO","CI/CD, Software troubleshooting, DevOps, Java, C++","associate, degree, education, bachelor","100 years, (5) years",N/A,$82K - $164K (Employer est.)
Software Engineer,Vinevida,"Miami Gardens, FL","SQL, JavaScript, Scripting, APIs, Python","degree, bachelor",N/A,N/A,$35.00 - $45.00 Per Hour (Employer est.)
Senior Software Engineer,Mastercard,"New York, NY","CI/CD, Cloud infrastructure, Node.js, React, DevOps","degree, bachelor",N/A,N/A,$138K - $221K (Employer est.)
"Software Engineer, TikTok Ads - USDS",TikTok,"Mountain View, CA","Go, C++, C, Python, Debugging",degree,3+ years,N/A,$119K - $250K (Employer est.)
Software Development Engineer,Delta Airlines,"Atlanta, GA","CI/CD, Cloud infrastructure, DevOps, Git, Test-driven development","degree, bachelor, diploma","18 years, 3-5 years",N/A,$105K - $135K (Glassdoor est.)
Software Engineer,"Pyramid Systems, Inc.","Fairfax, VA","Image processing, Signal processing, Computer vision, Test-driven development, Machine learning","degree, education, master, certification",2 years,N/A,$123K (Employer est.)
Software Engineer,"LINCOLN TECHNOLOGY SOLUTIONS, Inc.","Cary, NC","FPGA, OOP, C, GitHub, APIs","education, master, bachelor","5+ years, 2 years",N/A,$90K - $110K (Employer est.)
Software Engineer Sr - Vehicle Software,Oshkosh Vocational - Tennessee,"Murfreesboro, TN","MATLAB, Software troubleshooting, SQL, C++, C","degree, education, bachelor",more years,entry level,$78K - $122K (Employer est.)
Junior Software Engineer,Bryco,"Jackson, NJ","Jira, CSS, iOS development, C#, English","degree, certification, education, bachelor",N/A,N/A,$42K - $55K (Employer est.)
Software Engineer,Rackner,Remote,"AWS, Machine learning, Software development, Python",certification,"2+ years, 3+ years",N/A,N/A
Lead Software Engineer,Macquarie Group Limited,"Philadelphia, PA",DevOps,N/A,55 years,N/A,$132K - $188K (Glassdoor est.)
Deployment Engineer,GadellNet,"Saint Louis, MO","ConnectWise, Microsoft Access, LAN, Windows, IT support",certification,2+ years,N/A,$45K - $55K (Employer est.)
Software Engineer,Strategic Staffing Solutions,"Charlotte, NC","Oracle, XML, Relational databases, Military, Salesforce",education,5+ years,N/A,$65.00 - $75.00 Per Hour (Employer est.)
Software Engineer,Clera AI,"San Francisco, CA",AI,N/A,N/A,N/A,$130K - $200K (Employer est.)
Embedded Software Architect,ASML,"San Diego, CA","Computer science, Microsoft Excel, C++, Embedded software, UML","certification, education",9 years,N/A,$144K - $240K (Employer est.)
"Senior Software Engineer, Full Stack (Bank Modernization)",Capital One,"Richmond, VA","Azure, Go, Node.js, Kubernetes, NoSQL","associate, degree, education, bachelor","3+ years, 5+ years, 2+ years, 3 years, 1+ years",N/A,N/A
Junior Software Engineer,Maritime Applied Physics Corporation dba BlackSea Technologies,"Baltimore, MD","Computer science, Microsoft Excel, XML, Writing skills, Database design","degree, education, bachelor",0-3 years,N/A,$70K - $96K (Employer est.)
Senior Oracle PL / SQL Developer,Uline,"Pleasant Prairie, WI","Oracle, Software troubleshooting, Oracle EBS, SQL, PL/SQL","degree, education, bachelor",10+ years,N/A,$96K - $148K (Employer est.)
SOftware Engineer,Global Wave Group,"Aliso Viejo, CA","AJAX, ASP.NET, CSS, Web development, XML","degree, education, bachelor",N/A,N/A,$95K - $125K (Glassdoor est.)
Software Engineer – Entry Level,"General Dynamics Mission Systems, Inc","Scottsdale, AZ","Math, Software development, Agile, Debugging","degree, bachelor",N/A,N/A,$82K - $84K (Employer est.)
Automation Engineer - AI Trainer,DataAnnotation,Remote,"Writing skills, C#, English, SQL, C++","degree, bachelor",N/A,N/A,$40.00 Per Hour (Employer est.)
Software Developer 3,"Value Added Solutions, Inc.","Los Alamos, NM","SSO, Azure, IIS, C#, Microsoft SQL Server","graduate, degree, education, bachelor",eight years,N/A,$92K - $142K (Glassdoor est.)
"SOFTWARE ENGINEER II, IRVINE CA",Restaurant365,"Irvine, CA","Database development, Disaster recovery, Microsoft SQL Server, SSRS, SQL","degree, education, bachelor",3 years,N/A,$127K - $138K (Employer est.)
Software Engineer 1,RealmOne,Maryland,"CI/CD, Elasticsearch, Management, Microsoft Office, Django","degree, bachelor, education, certificate",(7) years,junior level,$85K - $195K (Employer est.)
Software Engineer,ZLINE,"Reno, NV","CI/CD, ASP.NET, Azure, Cloud architecture, EDI","degree, bachelor, education, certificate",(7) years,junior level,$72K - $122K (Glassdoor est.)
OIPA Software Engineer,Fidelity TalentSource,"Durham, NC","Oracle, Management, JUnit, Test-driven development, Windows","degree, bachelor, education, certificate",(7) years,junior level,$105K - $144K (Glassdoor est.)
Lead Django Backend Engineer,TextMe,"San Francisco, CA","Cloud infrastructure, Cassandra, Test-driven development, AWS, Redis","degree, bachelor, education, certificate",(7) years,junior level,$100K - $200K (Employer est.)
Software Engineer,SLPT Global Pump Group,"Warren, MI","Jira, Data structures, Git, English, C++","degree, master, bachelor","2+ years, 3 years",N/A,$80K - $110K (Employer est.)
Computing & Software Systems Engineer (TDD ArchSS),CRL Technologies,"Lexington Park, MD","Test-driven development, Math, Systems engineering","degree, master, bachelor","2+ years, 3 years",N/A,N/A
