Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary
"AVP, Data & AI Platform Architecture",The Hartford,"Hartford, CT","CI/CD, Go, DevOps, AWS, Distributed systems",certification,"10+ years, 5+ years",N/A,$180K - $270K (Employer est.)
"Data Scientist, Active Clearance",Motion Recruitment,"Washington, DC","SQL, Machine learning, Python, MySQL",master,4 years,N/A,$115K - $150K (Employer est.)
SENIOR DATA SCIENTIST (REMOTE OPPORTUNITY),"Hyatt Corporate Office, Chicago","Chicago, IL","TensorFlow, CI/CD, Operations research, Computer science, DevOps","phd, master, degree","ten years, (2+ years, 5+ years",N/A,$129K - $180K (Employer est.)
Sr Data Scientist,NRG,"Lehi, UT","Computer vision, Tableau, Statistical analysis, Machine learning, Forecasting","graduate, associate, education, degree",5+ years,N/A,$118K - $154K (Glassdoor est.)
Principal Data Scientist,"T-Mobile USA, Inc.","Bellevue, WA","Management, Relational databases, Calculus, Big data, Writing skills","master, education, degree, bachelor","4-7 years, 7-10 years, 2-4 years, 18 years",senior level,$127K - $230K (Employer est.)
Data Scientist,BNY Mellon,"Pittsburgh, PA","Computer science, Power BI, Big data, Spark, R","master, education, degree, bachelor","4-7 years, 7-10 years, 2-4 years, 18 years",senior level,N/A
Data Scientist - Tech Impact Fellowship Data Innovation Lab (Wave 3),Tech Impact,"Newark, DE","Azure, R, Laboratory experience, Git, SQL",N/A,N/A,N/A,$70K (Employer est.)
"Data Scientist, Retail",Vistra Retail Operations Company,"Irving, TX","Statistics, SQL, Math, Machine learning, AI","master, education, degree",1-3 years,N/A,N/A
Data Scientist,FanDuel,"Jersey City, NJ","Statistics, R, SQL, OOP, Analysis skills","degree, bachelor",N/A,N/A,$102K - $141K (Employer est.)
Data Scientist,Chenega Corporation,Virginia,"Power BI, Microsoft Excel, Visual Basic, SAS, R",N/A,N/A,N/A,$85K (Employer est.)
Data Scientist,Cnpc Usa Corporation,"Houston, TX","Computer science, Power BI, Relational databases, Big data, Writing skills","master, ph.d, bachelor",6 years,N/A,$103K - $171K (Glassdoor est.)
Data Scientist,Komatsu,"Tucson, AZ","Statistics, Azure, Internet of things, Kubernetes, Big data",N/A,N/A,N/A,$91K - $137K (Glassdoor est.)
Data Scientist III,University of Southern Mississippi,"Gulfport, MS","ArcGIS, TensorFlow, MATLAB, Writing skills, R","graduate, master, certification, education, degree, ph.d, associate","five years, two years",N/A,$84K - $123K (Glassdoor est.)
"Data Scientist, Creator Ecosystems",Character.AI,United States,"Live chat, Microsoft Excel, Social media management, AI, Leadership",N/A,"two years, 5+ years",N/A,$150K - $250K (Employer est.)
"Data Scientist, Retail Strategy","Build-A-Bear Workshop, Inc.","Saint Louis, MO","Statistics, Data analysis skills, Research, Machine learning, Data science","phd, master, degree",5 years,N/A,$97K - $155K (Glassdoor est.)
Data Scientist,Loyola University Chicago,"Maywood, IL","TensorFlow, Power BI, Data structures, R, Laboratory experience","graduate, certificate, master, undergraduate, education, degree, bachelor",N/A,N/A,$36.06 Per Hour (Employer est.)
Data Scientist,Hilco Global,"Northbrook, IL","TensorFlow, Power BI, Financial modeling, D3.js, Big data","degree, certification",N/A,N/A,$125K - $150K (Employer est.)
Sr. Data Scientist I,Partnership HealthPlan of California,"Fairfield, CA","Computer science, Power BI, Big data, Spark, R","master, certification, education, degree, phd",(4) years,N/A,$136K - $177K (Employer est.)
Data Scientist - Infrastructure Platform,ByteDance,"San Jose, CA","Power BI, Big data, Spark, R, Data analysis skills",degree,2 years,N/A,$144K - $244K (Employer est.)
Data Scientist,Raytheon,"Sterling, VA","Power BI, Vulnerability research, Azure, R, Tableau","master, degree","3+ years, 5+ years",N/A,$91K - $129K (Glassdoor est.)
Statistician / Data Scientist,Valve Software,"Bellevue, WA","Statistics, Data modeling, SQL, PHP, C++","graduate, degree",N/A,N/A,$105K - $145K (Glassdoor est.)
"Principal Associate, Ontology and Data Modeling- Retail Bank",Capital One,"McLean, VA","Ontology, Data modeling, XML, Writing skills, OWL","master, education, degree, bachelor, associate",3 years,N/A,N/A
Senior Machine Learning Engineer-AI (FULLY REMOTE),Splunk,Remote,"CI/CD, Azure, Kubernetes, Software deployment, DevOps","master, degree, bachelor",3+ years,N/A,$140K - $192K (Employer est.)
