Job Title,Company,Location,Skills,Education,Experience,Job Level,Salary
AI Research Scientist - Computer Vision,Meta,"Burlingame, CA","Statistics, Computer science, Computer vision, Research, Machine learning","bachelor, phd, associate, degree",,,$147K - $208K (Employer est.)
AI Researcher,CardinalTalent,Remote,"TensorFlow, Software deployment, Research, C++, Machine learning",,,,$1M (Employer est.)
"Research Scientist, Circuits - New College Grad 2025",NVIDIA,"Santa Clara, CA","Computer science, Electrical engineering, Product development, Communication skills",phd,,,$160K - $259K (Employer est.)
Computer Scientist,BAE Systems,"Reston, VA","Computer science, Data mining, Analysis skills, Machine learning, Scrum","bachelor, education, graduate, degree, master","7+ years, 12+ years, 17+ years, 10+ years, 8+ years, 2 years, 3+ years",mid-level,$76K - $128K (Employer est.)
Music Generation Research Scientist,Adobe,"San Francisco, CA","Machine learning, AI, Communication skills","phd, degree, master",,,$162K - $301K (Employer est.)
Principal Researcher - Computer Agent,Microsoft,"Redmond, WA","TensorFlow, Statistics, Computer science, Signal processing, Research","bachelor, doctorate, doctor, degree, master","7+ years, 6+ years, 9+ years, two years, 4+ years, 5+ years, 3+ years",,$138K - $294K (Employer est.)
"Research Scientist L4/L5, Algorithms Engineering",Netflix,Remote,"C#, Research, Host/hostess experience, Java, C++","phd, master",5+ years,,$100K - $720K (Employer est.)
Senior Applied Scientist,Microsoft,"Redmond, WA","Statistics, Data mining, C#, Research, Java","bachelor, doctorate, doctor, degree, master","4+ years, 3+ years",,$117K - $229K (Employer est.)
"Computer Vision Engineer, Reality Labs",Meta,Remote,"Computer science, Computer vision, R, C++, Machine learning","bachelor, phd, degree",3+ years,,$70.67 Per Hour (Employer est.)
AI Research Scientist,"South Park Investments, LLC","Denver, CO","Computer science, C#, System design, English, Research","ph.d, degree, education, master",3 years,,$125K - $165K (Employer est.)
Senior-level Computer Scientist - FICA,Celestar Corporation,"Charlottesville, VA","Data mining, Machine learning","ph.d, degree, education, master",3 years,,$115K - $165K (Glassdoor est.)
Applied Scientist,Microsoft,"Redmond, WA","Statistics, Data mining, Research, Natural language processing, Predictive analytics","bachelor, doctorate, ph.d, doctor, degree, master","6+ years, 4+ years, two years, 3+ years",,$117K - $294K (Employer est.)
Polymathic AI Research Scientist,New York University,"New York, NY","Research, Machine learning, AI, Communication skills, Python","bachelor, doctorate, ph.d, doctor, degree, master","6+ years, 4+ years, two years, 3+ years",,$120K - $250K (Employer est.)
"Research Scientist, Generative AI - Privacy",TikTok,"San Jose, CA","Computer science, Research, AI",phd,2 years,,$145K - $250K (Employer est.)
Computer Vision Scientist (multiple levels/openings),percipient.ai,"Santa Clara, CA","Computer vision, C++, Machine learning, Computer networking, Software development","ph.d, education","8+ years, 5 years, 2 years",,$155K - $300K (Employer est.)
Cryptologic Computer Scientist 2,RealmOne,Maryland,"Computer science, Operating systems, Calculus, Data structures, Computer skills","bachelor, associate, education, degree, master","5 years, 3 years, 7 years",,$120K - $185K (Employer est.)
AI Security Scientist,Booz Allen,"Annapolis Junction, MD","TensorFlow, Statistics, Computer vision, Calculus, Google Cloud Platform","bachelor, degree, education",5+ years,,$97K - $220K (Employer est.)
Computer Scientist,Siertek Ltd,"Quantico, VA","Machine learning, NIST standards, Data analytics, RMF","associate, degree, master",5 years,,$71K - $120K (Glassdoor est.)
Mid-level Computer Scientist - FICA,Celestar Corporation,"Charlottesville, VA","Data mining, Analysis skills, Machine learning","bachelor, degree, education","2 years, 6 years, option years, 10 years",mid-level,$64K - $103K (Glassdoor est.)
"Research Scientist, Design Automation - New College Grad 2025",NVIDIA,"Austin, TX","TensorFlow, C++, C, Machine learning, Scripting",ph.d,,,$160K - $259K (Employer est.)
Linguist Technical Research Scientist,Peraton,"Silver Spring, MD","Data mining, Git, Research, SQL, Machine learning","phd, education","0 years, 5 years, 3 years, additonal years",,$112K - $179K (Employer est.)
Junior Engineer/Scientist,Concordia Technologies Inc.,"Huntsville, AL","MATLAB, Analysis skills, C++, Machine learning, Software development","bachelor, degree, graduate",,,$70K - $90K (Employer est.)
Research Scientist,"Patronus AI, Inc.",Remote,"Laboratory experience, Research, Machine learning, Natural language processing, AI",,,,
Computer Scientist II,JT4,"Las Vegas, NV","Oracle, Software troubleshooting, Relational databases, .NET Core, C#",,,,$59K - $95K (Glassdoor est.)
Principal Scientist/Engineer- Field Ops (TS/SCI Clearance #25-025),"Strategic Analysis, Inc.","Arlington, VA","Jira, DoD experience, Microsoft Office, Confluence, Quality control","associate, degree, bachelor",7-10 years,,$102K - $153K (Glassdoor est.)
Research Scientist - Computer Vision - XR Tech Core AI,Meta,"Burlingame, CA","TensorFlow, Computer science, Computer vision, C++, C","bachelor, phd, degree",,,$177K - $251K (Employer est.)
"Computer Scientist I, S1",The University of Alabama in Huntsville,Alabama,,"bachelor, degree",,entry level,$51K - $56K (Employer est.)
Data Scientist - Computer Vision,Infosys,"Bentonville, AR","TensorFlow, Image processing, Azure, Computer vision, Software deployment","bachelor, degree, education","three years, 4 years",,$93K - $131K (Glassdoor est.)
"2025 Computer Scientist Opportunities in Las Vegas, NV",JT4,"Las Vegas, NV","Computer science, Systems engineering, Organizational skills, Software development, Computer skills","bachelor, associate, education, phd, certification, degree, master","six years, 10 years, eight years, two years, 16 years, four years, 14 years, 12 years","senior level, entry level",$53K - $90K (Glassdoor est.)
Computer Scientist,KBR,"Huntsville, AL","CI/CD, DevOps, Git, C++, C",degree,0-5 years,,$63K - $106K (Glassdoor est.)
Computer Scientist - Sr Level,"A3 Technology, Inc.","Egg Harbor Township, NJ","Statistics, Computer science, Visual Basic, Git, SQL","associate, bachelor, education, phd, doctor, degree, master","6 years, consecutive years, 16 years, 20 years",senior level,$70K - $113K (Glassdoor est.)
Health Research Scientist,Meta,"New York, NY","Nutrition, Computer science, Physiology knowledge, Data analysis skills, Research","associate, bachelor, education, phd, doctor, degree, master","6 years, consecutive years, 16 years, 20 years",senior level,$177K - $251K (Employer est.)
Computer scientist - Mid-level to Senior level,Bow Wave LLC,"Arlington, VA","Microsoft SQL Server, SSIS",,,,$115K - $125K (Employer est.)
Research Scientist,Orby AI,California,"Growing experience, Data structures, Machine learning, Natural language processing, AI",,4+ years,,$150K - $300K (Employer est.)
Firefly.com Principal Scientist,Adobe,"San Jose, CA","CI/CD, Computer science, React, Test-driven development, JavaScript",,12+ years,,$190K - $351K (Employer est.)
Applied Research Scientist,EdgeTech,"West Wareham, MA","MATLAB, Signal processing, FPGA, Scientific research, Research","m.s., degree, education",50 years,,$100K - $110K (Employer est.)
Junior Cryptanalytic Computer Scientist,GliaCell Technologies,"Linthicum Heights, MD","Microsoft Excel, DevOps, C++, Machine learning, Software development","m.s., degree, education",50 years,,$50K - $120K (Employer est.)
Applied Scientist II,Microsoft,"Redmond, WA","Statistics, C#, Research, Machine learning, Natural language processing","bachelor, doctorate, doctor, degree, master","2+ years, 3+ years, 5+ years, two years",,$98K - $209K (Employer est.)
"Fundamental AI Research Scientist, Language - FAIR",Meta,"New York, NY","Research, Machine learning, Natural language processing, AI, Python","ph.d, bachelor, degree, doctor",1+ years,,$117K - $173K (Employer est.)
"Computer Vision Engineer, Reality Labs",Meta,"Redmond, WA","Computer science, Computer vision, Machine learning, AI, Robotics","bachelor, phd, degree",,,$70.67 Per Hour (Employer est.)
Applied AI Research Scientist: AEC,Autodesk,"San Francisco, CA","French, TensorFlow, Mechanical engineering, Management, Research","graduate, phd, doctor, master",greater years,,$119K - $178K (Glassdoor est.)
"Research Scientist, ASIC and VLSI - New College Grad 2025",NVIDIA,"Santa Clara, CA","Research, Electrical engineering, C++, C, Machine learning",ph.d,2+ years,,$160K - $259K (Employer est.)
"Research Scientist, Computer Vision",TikTok,"San Jose, CA","2D animation, Computer vision, Research, C++, C",ph.d,2+ years,,$194K - $410K (Employer est.)
"Applied Deep Learning Research Scientist, Sparsity",NVIDIA,"Santa Clara, CA","Computer science, Analysis skills, C++, Machine learning, Computer networking",ph.d,2+ years,,$160K - $299K (Employer est.)
Communications and Networking Scientist,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD","Computer science, MATLAB, 5G, System design, C++","phd, degree, education, master",5+ years,,$90K - $230K (Employer est.)
"Fundamental AI Research Scientist, Computer Vision - FAIR",Meta,"Menlo Park, CA","Computer science, Computer vision, Laboratory experience, Machine learning, AI","bachelor, phd, degree","2+ years, 4+ years",,$147K - $208K (Employer est.)
Research Scientist - Speech,Zoom,"Seattle, WA","TensorFlow, Multilingual, Machine learning, Deep learning, Natural language processing",phd,5 years,,$143K - $313K (Employer est.)
Research Engineer,AppLovin,"Palo Alto, CA","Machine learning, AI",,"4 years, four years",,$137K - $205K (Employer est.)
"Postdoctoral Researcher – Ocean Monitoring System Design, Marine Science Institute, UCSB",University of California Santa Barbara,"Santa Barbara, CA","ArcGIS, Scientific research, R, System design, Stata","ph.d, phd, doctor",seven years,,$67K - $77K (Employer est.)
Energy Research Scientist - AI Trainer,DataAnnotation,"Madison, AL","Bilingual, English, AI","phd, master",,,$40.00 Per Hour (Employer est.)
Cryptanalytic Computer Scientist 1,"Prime Time Consulting, L.L.C","Fort Meade, MD","Computer science, Microsoft Office, Analysis skills, Communication skills","doctor, degree, education, doctorate","12 years, 6 years, 9 years, on years, 4 years, 2 years, 15 years",,$70K - $120K (Employer est.)
Autonomy and Perception Engineer,"General Technical Services, LLC","Adelphi, MD","Research laboratory experience, MATLAB, Computer vision, Research, C++","phd, certification, education, master","5 years, 5+ years",,$47K - $82K (Glassdoor est.)
Principal Applied Scientist,Microsoft,"Redmond, WA","Statistics, Visio, Research, Presentation skills, Machine learning","bachelor, doctorate, doctor, degree, master","2+ years, 6+ years, 1+ years, 9+ years, two years, 4+ years, 5+ years, 3+ years",,$138K - $294K (Employer est.)
Junior Research Scientist (Pre-Doctoral Research Fellowship),New York University,"New York, NY","Statistics, Survey design, R, Research, Stata","bachelor, phd, graduate, degree, doctor",,,$50K - $60K (Employer est.)
Senior Software Engineer - Computer Vision,H-E-B,"Austin, TX","TensorFlow, Azure, Computer vision, System design, Google Cloud Platform","certification, degree",5+ years,,$127K - $171K (Glassdoor est.)
Computer Scientist,"INQU,LLC","Edwards AFB, CA","C#, Microsoft SQL Server, .NET, AWS, C","bachelor, associate, phd, degree, master","18 years, 15 years, 20 years",senior level,$110K - $170K (Employer est.)
Research Scholar ( ),New York University,"Brooklyn, NY","Statistics, Computer science, Machine learning","degree, master",2 years,,$30.00 Per Hour (Employer est.)
"Research Scientist, Efficient Deep Learning - New College Grad 2025",NVIDIA,"Santa Clara, CA","Computer vision, Research, C++, Machine learning, Python",ph.d,,,$160K - $259K (Employer est.)
LLM 算法工程师 - 中国,Ribo Consulting Services Co. Ltd,Remote,"TensorFlow, Computer vision, Data analysis skills, Docker, Deep learning","degree, master",5 years,,$4K - $7K (Employer est.)
Research Scientist,Renaissance Technologies,"East Setauket, NY","Computer science, System design, Research","degree, master",5 years,,$185K - $224K (Employer est.)
Computer Scientist,U.S. Coast Guard,"New London, CT","Computer science, Management, Calculus, R, Machine learning","bachelor, education, certificate, certification, undergraduate, graduate, degree",5 years,senior level,$83K - $130K (Employer est.)
Computer Scientist (Public Notice),US Air Force Materiel Command,Alabama,"Computer science, Calculus, Writing skills, Organizational skills","bachelor, education, certificate, certification, graduate, degree","6 years, three years, 4 years, tax years, 2 years",,$56K - $91K (Employer est.)
Principal Applied Scientist,Microsoft,"Redmond, WA","Statistics, Data mining, Big data, Software deployment, C#","bachelor, doctorate, doctor, degree, master","6+ years, 4+ years, 3+ years",,$138K - $267K (Employer est.)
Camera and Photos Image Scientist,Apple,"Cupertino, CA","Photography, Signal processing, Optics, Analysis skills, Algorithm design","ph.d, m.s., education",3+ years,,$143K - $264K (Employer est.)
"Software Engineer, Audio Applied Scientist",Meta,"Burlingame, CA","Computer science, MATLAB, Signal processing, System design, C++","bachelor, degree",2+ years,,$56.25 Per Hour (Employer est.)
Research Scientist,Edgestream,"New York, NY",Machine learning,phd,,,$175K - $215K (Employer est.)
Research Scientist,Amazon.com Services LLC,"Bellevue, WA","MATLAB, R, Machine learning, Scripting, Agile","phd, degree, master",4+ years,,$136K - $213K (Employer est.)
Senior Applied Scientist,Microsoft,"Redmond, WA","Statistics, C#, Research, Machine learning, Natural language processing","bachelor, doctorate, doctor, degree, master","6+ years, 4+ years, two years, 3+ years",,$117K - $229K (Employer est.)
Senior Autonomous Systems Research Scientist,Carnegie Mellon University,"Pittsburgh, PA","Writing skills, Research, C++, C, Machine learning","associate, phd, education","(8) years, (5) years, (10) years",,$90K - $136K (Glassdoor est.)
Wireless Research Scientist,Apple,"Austin, TX","Signal processing, R, Research, Electrical engineering, Analysis skills",phd,"5+ years, 3+ years",,
Research Scientist,Ataraxis AI,"New York, NY","Statistics, Survival analysis, Machine learning, Deep learning, Python","phd, degree, doctor",,,$120K - $210K (Employer est.)
Senior Scientist,Uber,"San Francisco, CA","TensorFlow, Management, Software deployment, Data analysis skills, Git","bachelor, m.s., degree",5+ years,,$183K - $203K (Employer est.)
Quantum Computer Scientist 1/2,Los Alamos National Laboratory,"Los Alamos, NM","Kubernetes, Writing skills, Laboratory experience, Git, Research","bachelor, associate, ph.d, education, degree, doctor","18 years, 4 years, 5 years, 2 years",,$94K - $139K (Glassdoor est.)
Applied Scientist,DocuSign,"San Francisco, CA","TensorFlow, DocuSign, Machine learning, Product management, Deep learning","bachelor, education, phd, degree, master","5+ years, 3+ years",,$146K - $214K (Employer est.)
2025 BS/MS Graduate - Rotational Program - Discovery Program,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD","Signal processing, Research, Classroom experience, AI, Leadership","b.s., m.s., education, graduate, degree",,,$85K - $160K (Employer est.)
Post-doctoral Fellowship - Ground Deformation Recorded by Geodetic Techniques,FM,"Norwood, MA","ArcGIS, MATLAB, Data analysis skills, Research, Java","phd, education",three years,,$91K - $130K (Employer est.)
Senior Computer Scientist II,Adobe,"Lehi, UT","Encryption, Microservices, Distributed systems, Agile","phd, education",three years,,$171K - $320K (Employer est.)
Summer Associate- HHX,Howard Hughes,"The Woodlands, TX","TensorFlow, Git, Analysis skills, Machine learning, Software development","phd, education",three years,,$43K - $79K (Glassdoor est.)
Health Research Scientist,Meta,"Burlingame, CA","Nutrition, Computer science, Physiology knowledge, Data analysis skills, Research","phd, degree, bachelor","8+ years, 5+ years",,$177K - $251K (Employer est.)
Temporary Researchers (Project Scientist Series) for Electrical and Computer Engineering,University of California Santa Barbara,"Santa Barbara, CA",Signal processing,phd,seven years,,$96K - $250K (Employer est.)
Applied Research Scientist,"Advanced Micro Devices, Inc",New Jersey,"TensorFlow, Machine learning, AI, Communication skills, Python","phd, degree, master",,,
Senior Computer Scientist,KBR,"Huntsville, AL","CI/CD, Kubernetes, DevOps, Git, Windows",degree,10-20 years,,$127K - $177K (Glassdoor est.)
Senior Algorithm Scientist,Oura,"San Diego, CA","Signal processing, Git, Electrical engineering, C++, C","phd, degree","three years, five years, 3+ years",,$170K - $200K (Employer est.)
Applied Mathematician / Math Research (PhD Req),"VOCAL Technologies, Ltd.","Buffalo, NY","Signal processing, Calculus, Research, Analysis skills, Math","phd, doctor, education, doctorate",38 years,,$60K - $90K (Employer est.)
Senior Project Computer Scientist,Healthtech Solutions,"Frankfort, KY","ASP.NET, Azure, Software deployment, DevOps, C#","degree, master",,,$69K - $109K (Glassdoor est.)
"Proactive Intelligence, Applied Research Scientist - Generative AI",Apple,"Cupertino, CA","TensorFlow, Statistics, Software deployment, iOS, Research","m.s., phd, education","5 years, 5+ years",,$143K - $264K (Employer est.)
AI Research Scientist,Cognizant,"Mission, Los Angeles, CA","Research, Machine learning, AI, Communication skills",phd,3+ years,,$230K - $243K (Employer est.)
Senior Research Scientist,Leonardo.Ai,Remote,"Research, AI, Python","phd, education, master",,,
"Senior AI Scientist, Molecular Design - USA Remote",Danaher Corporation,"Austin, TX","Research, Machine learning, Data science, AI, Communication skills","associate, phd","7+ years, 25 years",,$180K - $225K (Employer est.)
Research Scientist,ASAPP,"New York, NY","Research, Machine learning, Algorithm design, Natural language processing, AI","phd, education",,,$190K - $240K (Employer est.)
"Applied Scientist, SPX AI Lab",Amazon.com Services LLC,"Seattle, WA","Data mining, Data structures, Java, C++, Machine learning","phd, degree, master","4+ years, 3+ years",,$136K - $223K (Employer est.)
Staff Applied Research Scientist,Descript,"San Francisco, CA","TensorFlow, Computer vision, Machine learning, Deep learning, Natural language processing","phd, degree, master",,,$190K - $300K (Employer est.)
"Research Scientist, Intelligent Editing (Multimodality)",TikTok,"Seattle, WA","Computer vision, Research, C++, Content creation, C","phd, degree, master",,,$178K - $266K (Employer est.)
Machine Learning Research Engineer - Computer Vision/Computational Photography,Apple,"Cupertino, CA","Photography, TensorFlow, Computer vision, C++, C","phd, education",,,$143K - $264K (Employer est.)
"Research Engineer, Applied AI",Aleph,Remote,"Data structures, NetSuite, B2B, SaaS, AI",,,,$147K - $245K (Employer est.)
"Principal Researcher - Deep Learning, Reinforcement Learning – Microsoft Research",Microsoft,"New York, NY","Computer science, Research, Machine learning, Research data collection, AI","doctor, doctorate","8+ years, 3+ years",,$138K - $267K (Employer est.)
Senior Research Scientist - Craft Education,Western Governors University,Tennessee,"Power BI, Microsoft Excel, Business intelligence, Software deployment, Qualitative research","education, certification, graduate, degree, master",7 years,,$107K - $165K (Employer est.)
Research Scientist,HireIO,"San Francisco, CA","Computer science, Data mining, Laboratory experience, Java, C++",phd,,,$200K (Employer est.)
CPU Research Scientist - Platform Architecture,Apple,"Santa Clara, CA","Computer science, Research, C++, C, Machine learning","b.s., phd, degree, education",3+ years,,$143K - $264K (Employer est.)
Computer Vision Architect,Apple,"Sunnyvale, CA","Computer vision, Leadership",education,10 years,,$176K - $312K (Employer est.)
Generative AI Research Scientist,CENTRIC SOFTWARE INC,Remote,"Computer science, Research, Machine learning, Organizational skills, AI","ph.d, education",,,$158K - $250K (Employer est.)
Computer Scientist - Intermediate,Veteran Enterprise Technology Services,"Fort Huachuca, AZ","Web accessibility, Computer science, Software troubleshooting, Calculus, Analysis skills","bachelor, certification, master, degree",2 years,,$65K - $116K (Glassdoor est.)
Applied AI Research Scientist - Reinforcement Learning,Meta,"Menlo Park, CA","TensorFlow, Computer science, Java, C++, Machine learning","ph.d, bachelor, degree",,,$147K - $208K (Employer est.)
Machine Learning Research Engineer,"Apira Technologies, Inc",United States,"Computer vision, Google Cloud Platform, Research, AWS, Machine learning","bachelor, phd, degree, master",,,$120K - $180K (Employer est.)
Applied Researcher I,Capital One,"New York, NY","Research, AWS, SSL, Machine learning, Deep learning","m.s., associate, education, phd, degree, master","for years, 5 years, 2 years, multiple years",,
"Research Scientist, Google Research",Google,"Atlanta, GA","Computer science, Data mining, Data structures, R, Research","phd, degree, education",2 years,,
AI Research Scientist (Robotics),Meta,"Menlo Park, CA","TensorFlow, Computer science, Research, Machine learning, Deep learning","bachelor, phd, degree","2+ years, 5+ years",,$177K - $251K (Employer est.)
AI / ML Research Scientist,Natcast,Remote,"TensorFlow, Management, Node.js, Patent law, Research","ph.d, master",5 years,,
Algorithm Developer/Chemotrician,"Alakai Defense Systems, Inc.","Largo, FL","Microsoft Excel, C#, English, Spectroscopy, Analysis skills","associate, degree, education","10 years, 3 years, 20 years",,$100K - $200K (Employer est.)
Ops Research Scientist II,Fedex,"Moon, PA","Bilingual, TensorFlow, Operations research, Power BI, D3.js","associate, degree, education","10 years, 3 years, 20 years",,$8K (Employer est.)
Computer Scientist,Washington State University,"Pullman, WA","Data modeling, Microsoft Excel, R, Data analysis skills, Research","bachelor, associate, education, certification, doctor, degree, master","(7) years, (3) years",,$66K - $119K (Glassdoor est.)
Applied Scientist- TikTok E-Commerce Recommendation,TikTok,"Seattle, WA","TensorFlow, Computer science, Data mining, Research, Machine learning",phd,3+ years,,$138K - $238K (Employer est.)
RESEARCH SCIENTIST/ENGINEER ASSISTANT,University of Washington,"Seattle, WA","Laboratory procedures, Laboratory experience, Machine learning, Python","bachelor, certification, degree, education",,,$4K (Employer est.)
Lead Research Scientist,Humana,Remote,"Big data, Spark, R, Data analysis skills, Analysis skills","associate, education, certification, degree, master",5-7 years,,$126K - $174K (Employer est.)
AIML - Senior Research Scientist/Engineer - Special Projects,Apple,"Santa Clara, CA","TensorFlow, Computer vision, Machine learning, AI, Robotics","bachelor, education, phd, degree, master",,,$176K - $312K (Employer est.)
"Research Scientist, AI & Machine Learning (PhD)",Oracle,United States,"Oracle, Research, Java, Analysis skills, Machine learning","ph.d, phd, degree, graduate",,,
Critical Infrastructure Protection Staff – AI/ML Decision Science,Johns Hopkins Applied Physics Laboratory (APL),"Laurel, MD","TensorFlow, MATLAB, Rust, Writing skills, C#","bachelor, education",8+ years,,$90K - $350K (Employer est.)
Applied Scientist II,Amazon.com Services LLC,"Palo Alto, CA","Data mining, Data structures, Java, C++, Distributed systems","phd, degree, master","4+ years, 3+ years",,$136K - $223K (Employer est.)
"Research Perception Scientist, Computer Vision and Machine Learning",Bright Machines,"San Francisco, CA","Computer science, Statistical analysis, C++, C, Machine learning",phd,1-5 years,,$190K - $230K (Employer est.)
Research Scientist - Salesforce AI Research,Salesforce,"Palo Alto, CA","TensorFlow, Multilingual, Salesforce, Research, C++","ph.d, degree, master",,,$137K - $335K (Employer est.)
"Research Scientist, Image Processing & Computer Vision","DigitalFish, Inc","San Francisco, CA","Computer vision, C++, Machine learning, Unity, Computer skills","phd, degree",,,$110K - $150K (Employer est.)
Research Scientist,New York University,"Brooklyn, NY",Communication skills,"phd, master",,,$90K (Employer est.)
Computer Scientist,US Department of the Air Force - Agency Wide,Anacostia,"Computer science, Calculus, Analysis skills, Software development, Computer skills","bachelor, education, degree, certification, certificate","three years, tax years",,$74K - $160K (Employer est.)
Research Security Analyst,Stony Brook University,"Stony Brook, NY","Microsoft Powerpoint, Search engines, Data mining, Research","bachelor, education, degree, certification, certificate","three years, tax years",,$90K - $100K (Employer est.)
"Applied Scientist, Artificial General Intelligence",Amazon.com Services LLC,"Boston, MA","Computer vision, Research, Java, C++, Machine learning","phd, degree, master",5+ years,,$150K (Employer est.)
Research Scientist - AI & Computer Vision - Aerospace Research,GE Aerospace,"Niskayuna, NY","Writing skills, Filing, Machine learning, GitHub, AI","ph.d, education, phd, doctor, master",4 years,,$80K - $150K (Employer est.)
Research Scientist - College of Engineering - Department of Electrical and Computer Engineering,Carnegie Mellon University,"Pittsburgh, PA","Research, Analysis skills, Project management, Communication skills","bachelor, degree, education, master",5-8 years,,$80K - $134K (Glassdoor est.)
Real-Time Computer Vision Architect,Apple,"Sunnyvale, CA","Operating systems, Signal processing, Computer vision, Translation, Leadership","bachelor, degree, education, master",5-8 years,,$176K - $312K (Employer est.)
Cryptologic Computer Scientist,HII,"Fort Meade, MD","Computer science, Operating systems, Data structures, Software development, Data science","bachelor, diploma, master","0 years, 6 years, 2 years",,$92K - $151K (Glassdoor est.)
Computer Scientist/Systems Analyst,Objectstream,"Washington, DC","Microsoft Powerpoint, Computer science, Microsoft Excel, Microsoft Office, C","bachelor, certification, degree",(3) years,,$92K - $134K (Glassdoor est.)
Sr. Computer Vision Engineer w/ ML,OpenSpace,Remote,"TensorFlow, Image processing, Computer vision, Git, Google Cloud Platform","ph.d, m.s., certification",5+ years,,$152K - $240K (Employer est.)
AI Scientist,GE HEALTHCARE,"Bellevue, WA","TensorFlow, Spark, C++, SSL, Machine learning","ph.d, m.s., certification",5+ years,,$156K - $235K (Employer est.)
Intermediate Computer Scientist,"ECS Federal, LLC","Washington, DC","NoSQL, Git, SQL, Machine learning, Data analytics","associate, degree, bachelor","4 years, 3 years, 2 years",,$130K - $160K (Employer est.)
"Research Scientist, Large Recommender Models-TikTok Recommendation",TikTok,"San Jose, CA","Data structures, Machine learning, Deep learning, Natural language processing, AI","ph.d, degree",,,$145K - $355K (Employer est.)
Senior Research Scientist - Software Defined Radio,Peraton,"College Park, MD","Machine learning, 4G/LTE",ph.d,"6 years, 3 years, 8 years, 3+ years",,$146K - $234K (Employer est.)
Senior C/C++ Software Scientist with remote sensing expertise,General Dynamics Information Technology,"Chantilly, VA","AWS, C++, C, Machine learning, Cloud development","master, phd, certification, degree, doctor","10 years, 12 years, + years",,$159K - $215K (Employer est.)
Senior Computer Scientist/Systems Analyst,Objectstream,"Washington, DC","Microsoft Powerpoint, Computer science, Microsoft Excel, Microsoft Office, C","bachelor, certification, degree",(8) years,,$124K - $170K (Glassdoor est.)
Sr. AI Research Scientist,"EDDA TECHNOLOGY, INC.","Princeton, NJ","TensorFlow, Anatomy knowledge, Sonography, Analysis skills, C++","phd, doctor, education, doctorate","5 years, 5+ years",,$180K (Employer est.)
Energy Research Scientist - AI Trainer,DataAnnotation,"Hempstead, NY","Bilingual, English, AI","phd, master",,,$40.00 Per Hour (Employer est.)
Ingeniero de Inteligencia Artificial,Equity Solar,Puerto Rico,"TensorFlow, Spanish, English, AWS, Machine learning","phd, master",,,$80K (Employer est.)
Applied Researcher II,Capital One,"New York, NY","Data structures, Research, AWS, SSL, Machine learning","m.s., associate, education, phd, master","for years, multiple years, 5 years, 4 years, 2 years",,
"Computer Vision Engineer, Sr Staff",Lockheed Martin,"Roxborough Park, CO","Computer science, MATLAB, Computer vision, C++, AI","phd, associate, education, master",5 years,,$151K - $266K (Employer est.)
"Sr. Applied Scientist - Computer Vision, Amazon Robotics",Amazon.com Services LLC,"Seattle, WA","Statistics, Computer vision, Writing skills, Data analysis skills, Research","phd, degree, master",6+ years,,$150K - $260K (Employer est.)
Applied AI Engineer – Computer Vision,Kodiak,"San Francisco, CA","TensorFlow, Deep learning, AI, Python","phd, education",2-3 years,,$150K - $250K (Employer est.)
